name,bbox,score,order_pre,order_final
ava_obj_2_809782.jpg,"[80, 0, 481, 401]",1,1,0
ava_obj_2_809782.jpg,"[40, 0, 360, 320]",0,0,0
ava_obj_2_809782.jpg,"[120, 40, 360, 280]",0,0,0
ava_obj_2_809782.jpg,"[228, 9, 616, 397]",0,0,0
ava_obj_2_809782.jpg,"[326, 7, 714, 395]",0,0,0
ava_obj_2_809782.jpg,"[1, 11, 389, 399]",1,2,0
ava_obj_2_809782.jpg,"[40, 0, 574, 401]",4,1,1
ava_obj_2_809782.jpg,"[0, 40, 427, 360]",0,0,0
ava_obj_2_809782.jpg,"[120, 40, 440, 280]",2,2,3
ava_obj_2_809782.jpg,"[239, 76, 671, 400]",0,0,0
ava_obj_2_809782.jpg,"[215, 3, 647, 327]",0,0,0
ava_obj_2_809782.jpg,"[144, 65, 576, 389]",0,0,0
ava_obj_2_809782.jpg,"[80, 0, 380, 401]",1,2,0
ava_obj_2_809782.jpg,"[160, 0, 460, 401]",0,0,0
ava_obj_2_809782.jpg,"[160, 40, 340, 280]",1,1,0
ava_obj_2_809782.jpg,"[0, 0, 300, 401]",0,0,0
ava_obj_2_809782.jpg,"[240, 80, 480, 400]",0,0,0
ava_obj_2_809782.jpg,"[417, 15, 700, 392]",0,0,0
ava_obj_2_809782.jpg,"[8, 0, 720, 401]",1,1,0
ava_obj_2_809782.jpg,"[80, 40, 507, 280]",0,0,0
ava_obj_2_809782.jpg,"[267, 67, 699, 310]",0,0,0
ava_obj_2_809782.jpg,"[2, 92, 505, 374]",3,2,2
ava_obj_2_809782.jpg,"[179, 34, 611, 277]",0,0,0
ava_obj_2_809782.jpg,"[243, 126, 675, 369]",0,0,0
ava_obj_1_747988.jpg,"[0, 168, 426, 594]",3,1,2
ava_obj_1_747988.jpg,"[42, 126, 382, 466]",0,0,0
ava_obj_1_747988.jpg,"[86, 300, 426, 640]",0,0,0
ava_obj_1_747988.jpg,"[0, 0, 426, 426]",0,0,0
ava_obj_1_747988.jpg,"[141, 282, 396, 537]",2,2,3
ava_obj_1_747988.jpg,"[96, 33, 351, 288]",0,0,0
ava_obj_1_747988.jpg,"[0, 252, 426, 571]",1,2,0
ava_obj_1_747988.jpg,"[0, 168, 426, 487]",1,1,0
ava_obj_1_747988.jpg,"[42, 126, 382, 381]",0,0,0
ava_obj_1_747988.jpg,"[0, 0, 426, 319]",0,0,0
ava_obj_1_747988.jpg,"[52, 357, 350, 580]",0,0,0
ava_obj_1_747988.jpg,"[78, 47, 376, 270]",0,0,0
ava_obj_1_747988.jpg,"[0, 72, 426, 640]",4,2,1
ava_obj_1_747988.jpg,"[42, 42, 382, 496]",0,0,0
ava_obj_1_747988.jpg,"[84, 210, 339, 550]",0,0,0
ava_obj_1_747988.jpg,"[10, 173, 265, 513]",0,0,0
ava_obj_1_747988.jpg,"[149, 165, 404, 505]",1,1,0
ava_obj_1_747988.jpg,"[33, 63, 288, 403]",0,0,0
ava_obj_1_747988.jpg,"[0, 294, 426, 533]",1,2,0
ava_obj_1_747988.jpg,"[0, 210, 426, 449]",1,1,0
ava_obj_1_747988.jpg,"[42, 126, 382, 317]",0,0,0
ava_obj_1_747988.jpg,"[0, 0, 426, 239]",0,0,0
ava_obj_1_747988.jpg,"[83, 477, 338, 620]",0,0,0
ava_obj_1_747988.jpg,"[58, 196, 398, 387]",0,0,0
ava_obj_2_889856.jpg,"[106, 0, 639, 533]",3,2,2
ava_obj_2_889856.jpg,"[265, 53, 691, 479]",0,0,0
ava_obj_2_889856.jpg,"[265, 53, 584, 372]",0,0,0
ava_obj_2_889856.jpg,"[27, 29, 507, 509]",0,0,0
ava_obj_2_889856.jpg,"[312, 30, 792, 510]",0,0,0
ava_obj_2_889856.jpg,"[184, 25, 664, 505]",1,1,0
ava_obj_2_889856.jpg,"[0, 0, 710, 533]",4,1,1
ava_obj_2_889856.jpg,"[159, 53, 585, 372]",0,0,0
ava_obj_2_889856.jpg,"[212, 53, 780, 479]",2,2,3
ava_obj_2_889856.jpg,"[265, 0, 691, 319]",0,0,0
ava_obj_2_889856.jpg,"[33, 7, 513, 367]",0,0,0
ava_obj_2_889856.jpg,"[23, 95, 503, 455]",0,0,0
ava_obj_2_889856.jpg,"[212, 0, 611, 533]",1,2,0
ava_obj_2_889856.jpg,"[371, 53, 690, 479]",0,0,0
ava_obj_2_889856.jpg,"[371, 53, 610, 372]",0,0,0
ava_obj_2_889856.jpg,"[106, 0, 505, 533]",1,1,0
ava_obj_2_889856.jpg,"[12, 0, 400, 517]",0,0,0
ava_obj_2_889856.jpg,"[397, 3, 785, 520]",0,0,0
ava_obj_2_889856.jpg,"[53, 0, 693, 360]",0,0,0
ava_obj_2_889856.jpg,"[106, 0, 586, 270]",0,0,0
ava_obj_2_889856.jpg,"[159, 53, 799, 413]",1,2,0
ava_obj_2_889856.jpg,"[212, 53, 692, 323]",0,0,0
ava_obj_2_889856.jpg,"[0, 83, 800, 533]",1,1,0
ava_obj_2_889856.jpg,"[32, 235, 512, 505]",0,0,0
ava_obj_0_947112.jpg,"[159, 371, 480, 691]",0,0,0
ava_obj_0_947112.jpg,"[107, 318, 535, 746]",2,2,3
ava_obj_0_947112.jpg,"[53, 371, 374, 691]",0,0,0
ava_obj_0_947112.jpg,"[212, 318, 533, 638]",0,0,0
ava_obj_0_947112.jpg,"[0, 159, 535, 694]",3,1,2
ava_obj_0_947112.jpg,"[94, 3, 522, 431]",0,0,0
ava_obj_0_947112.jpg,"[159, 424, 480, 664]",1,2,0
ava_obj_0_947112.jpg,"[106, 371, 534, 692]",1,1,0
ava_obj_0_947112.jpg,"[53, 424, 374, 664]",0,0,0
ava_obj_0_947112.jpg,"[53, 424, 481, 745]",0,0,0
ava_obj_0_947112.jpg,"[106, 371, 427, 611]",0,0,0
ava_obj_0_947112.jpg,"[26, 19, 400, 299]",0,0,0
ava_obj_0_947112.jpg,"[214, 265, 535, 692]",1,1,0
ava_obj_0_947112.jpg,"[106, 106, 534, 676]",4,2,1
ava_obj_0_947112.jpg,"[53, 318, 374, 745]",0,0,0
ava_obj_0_947112.jpg,"[106, 265, 427, 692]",0,0,0
ava_obj_0_947112.jpg,"[159, 371, 480, 798]",0,0,0
ava_obj_0_947112.jpg,"[73, 58, 394, 486]",0,0,0
ava_obj_0_947112.jpg,"[0, 371, 535, 671]",1,1,0
ava_obj_0_947112.jpg,"[106, 477, 427, 657]",0,0,0
ava_obj_0_947112.jpg,"[53, 477, 481, 717]",1,2,0
ava_obj_0_947112.jpg,"[45, 171, 419, 381]",0,0,0
ava_obj_0_947112.jpg,"[67, 281, 388, 461]",0,0,0
ava_obj_0_947112.jpg,"[177, 569, 498, 749]",0,0,0
ava_obj_2_542145.jpg,"[142, 0, 640, 498]",4,1,1
ava_obj_2_542145.jpg,"[98, 0, 496, 398]",0,0,0
ava_obj_2_542145.jpg,"[245, 98, 543, 396]",0,0,0
ava_obj_2_542145.jpg,"[294, 147, 592, 445]",0,0,0
ava_obj_2_542145.jpg,"[136, 89, 520, 473]",1,2,0
ava_obj_2_542145.jpg,"[19, 107, 403, 491]",0,0,0
ava_obj_2_542145.jpg,"[0, 0, 640, 480]",1,1,0
ava_obj_2_542145.jpg,"[147, 98, 531, 386]",0,0,0
ava_obj_2_542145.jpg,"[256, 98, 640, 386]",1,2,0
ava_obj_2_542145.jpg,"[196, 147, 580, 435]",0,0,0
ava_obj_2_542145.jpg,"[27, 33, 475, 369]",0,0,0
ava_obj_2_542145.jpg,"[160, 4, 544, 292]",0,0,0
ava_obj_2_542145.jpg,"[267, 0, 640, 498]",1,1,0
ava_obj_2_542145.jpg,"[245, 98, 543, 496]",1,2,0
ava_obj_2_542145.jpg,"[294, 98, 518, 396]",0,0,0
ava_obj_2_542145.jpg,"[196, 0, 494, 398]",0,0,0
ava_obj_2_542145.jpg,"[6, 13, 351, 473]",0,0,0
ava_obj_2_542145.jpg,"[92, 16, 437, 476]",0,0,0
ava_obj_2_542145.jpg,"[0, 0, 640, 360]",0,0,0
